               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047422,            0.025879,            0.023114,             0.71219,             0.60389,             0.66714,             0.39119,            0.043802,            0.013654,            0.013247,           0.0082675,           0.0082675,           0.0082675
                  37,             0.04705,            0.025608,            0.022356,             0.71324,             0.61586,             0.67257,             0.39397,            0.043746,            0.013666,            0.013131,            0.008218,            0.008218,            0.008218
                  38,            0.047223,            0.025845,            0.022775,             0.72386,             0.60976,             0.67437,             0.39707,            0.043525,            0.013628,            0.013034,           0.0081685,           0.0081685,           0.0081685
                  39,            0.047656,            0.025685,            0.023474,             0.72757,             0.60745,             0.67532,              0.4005,            0.043429,            0.013614,            0.012881,            0.008119,            0.008119,            0.008119
                  40,            0.047082,            0.025963,            0.022479,             0.72964,              0.6078,             0.67581,              0.3999,            0.043288,            0.013588,            0.012952,           0.0080695,           0.0080695,           0.0080695
                  41,            0.046621,            0.025434,            0.021729,             0.72426,             0.61376,             0.67761,             0.40141,            0.043191,            0.013575,            0.012894,             0.00802,             0.00802,             0.00802
                  42,            0.047128,            0.025548,            0.021889,             0.73934,             0.60936,             0.68022,             0.40375,            0.043148,            0.013545,            0.012814,           0.0079705,           0.0079705,           0.0079705
                  43,            0.046546,             0.02588,            0.022205,             0.73486,             0.61428,             0.68065,             0.40536,            0.043073,            0.013537,            0.012761,            0.007921,            0.007921,            0.007921
                  44,            0.047452,            0.025644,            0.022022,             0.72782,             0.62334,             0.68357,             0.40798,            0.042974,            0.013534,            0.012644,           0.0078715,           0.0078715,           0.0078715
                  45,             0.04643,            0.025716,            0.021775,             0.73563,             0.61528,             0.68339,             0.40891,            0.042923,            0.013504,            0.012612,            0.007822,            0.007822,            0.007822
                  46,            0.047076,            0.026387,            0.021251,             0.73419,             0.61567,             0.68484,             0.40874,              0.0429,             0.01347,            0.012549,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046607,            0.025739,            0.021462,             0.73077,              0.6189,             0.68454,             0.40956,            0.042816,            0.013462,            0.012488,            0.007723,            0.007723,            0.007723
                  48,            0.046863,            0.025688,            0.021932,             0.74567,             0.61037,             0.68457,             0.41026,            0.042756,            0.013476,            0.012492,           0.0076735,           0.0076735,           0.0076735
                  49,            0.046745,            0.025884,            0.021657,             0.74288,             0.61091,             0.68381,             0.41129,            0.042678,            0.013469,            0.012451,            0.007624,            0.007624,            0.007624
                  50,            0.046813,            0.026016,            0.021395,             0.74231,             0.61417,              0.6858,             0.41203,            0.042615,             0.01346,            0.012439,           0.0075745,           0.0075745,           0.0075745
                  51,            0.046108,            0.025145,            0.021746,             0.74965,             0.61279,             0.68789,             0.41316,            0.042554,            0.013448,            0.012451,            0.007525,            0.007525,            0.007525
                  52,            0.046167,            0.025133,            0.021927,             0.73981,              0.6184,              0.6887,             0.41378,            0.042482,             0.01344,            0.012344,           0.0074755,           0.0074755,           0.0074755
                  53,            0.046344,            0.026062,            0.021069,             0.74503,             0.61824,             0.69148,             0.41462,            0.042429,            0.013423,            0.012292,            0.007426,            0.007426,            0.007426
                  54,            0.046521,            0.025743,            0.021635,             0.73884,             0.62307,              0.6925,             0.41613,            0.042381,            0.013408,            0.012235,           0.0073765,           0.0073765,           0.0073765
                  55,            0.046382,            0.025942,             0.02134,             0.74266,             0.62152,             0.69215,             0.41703,            0.042332,            0.013401,            0.012279,            0.007327,            0.007327,            0.007327
                  56,            0.046713,            0.025345,            0.021043,             0.74282,             0.62148,             0.69206,              0.4172,            0.042297,            0.013405,            0.012278,           0.0072775,           0.0072775,           0.0072775
                  57,            0.045632,            0.024893,            0.021667,             0.74204,             0.62295,             0.69307,              0.4189,            0.042242,            0.013401,            0.012239,            0.007228,            0.007228,            0.007228
                  58,            0.045727,             0.02561,            0.021286,             0.74827,             0.62123,             0.69317,             0.41904,            0.042216,            0.013399,            0.012209,           0.0071785,           0.0071785,           0.0071785
                  59,            0.046364,            0.025215,            0.020543,              0.7444,             0.62368,             0.69383,             0.41991,            0.042182,            0.013399,            0.012176,            0.007129,            0.007129,            0.007129
                  60,            0.046108,            0.025714,            0.021668,             0.74904,             0.62265,             0.69407,             0.42005,            0.042154,            0.013395,            0.012143,           0.0070795,           0.0070795,           0.0070795
                  61,            0.045656,            0.025233,            0.021194,             0.74174,             0.62694,             0.69396,             0.42012,            0.042129,            0.013389,            0.012128,             0.00703,             0.00703,             0.00703
                  62,             0.04623,            0.025636,            0.020881,             0.74549,             0.62739,             0.69518,             0.42126,            0.042107,            0.013384,            0.012102,           0.0069805,           0.0069805,           0.0069805
                  63,            0.046143,             0.02591,            0.020942,             0.74806,             0.62615,             0.69521,             0.42176,            0.042083,            0.013381,            0.012076,            0.006931,            0.006931,            0.006931
                  64,            0.045511,             0.02533,            0.020639,             0.75156,             0.62536,             0.69593,             0.42213,            0.042062,            0.013378,            0.012059,           0.0068815,           0.0068815,           0.0068815
                  65,            0.045436,            0.025056,            0.021217,             0.74769,             0.62893,             0.69703,             0.42251,            0.042031,            0.013371,             0.01204,            0.006832,            0.006832,            0.006832
                  66,            0.046114,            0.025797,            0.020626,             0.74863,             0.62979,              0.6975,             0.42323,               0.042,            0.013365,            0.012009,           0.0067825,           0.0067825,           0.0067825
                  67,            0.045751,            0.025307,            0.020948,             0.74452,             0.63051,             0.69768,              0.4241,            0.041977,            0.013363,            0.011987,            0.006733,            0.006733,            0.006733
                  68,             0.04601,            0.026012,             0.02111,             0.73823,             0.63287,              0.6981,             0.42438,            0.041954,            0.013361,            0.011976,           0.0066835,           0.0066835,           0.0066835
                  69,            0.045153,            0.025212,            0.020924,             0.73842,             0.63354,             0.69834,             0.42472,             0.04193,            0.013356,            0.011962,            0.006634,            0.006634,            0.006634
                  70,            0.045919,            0.025586,             0.02081,             0.74387,             0.62961,             0.69858,             0.42515,            0.041908,            0.013353,            0.011946,           0.0065845,           0.0065845,           0.0065845
                  71,            0.045796,            0.025698,            0.020245,             0.74584,             0.62895,              0.6983,             0.42502,            0.041887,             0.01335,            0.011938,            0.006535,            0.006535,            0.006535
                  72,            0.045511,            0.025273,            0.020415,             0.74767,             0.62896,              0.6986,             0.42515,            0.041866,            0.013347,            0.011926,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045524,            0.025657,            0.019968,             0.74379,             0.63011,             0.69884,             0.42545,            0.041846,            0.013345,            0.011913,            0.006436,            0.006436,            0.006436
                  74,            0.045218,            0.025555,            0.020297,             0.74599,             0.62912,              0.6993,             0.42588,            0.041831,            0.013342,              0.0119,           0.0063865,           0.0063865,           0.0063865
                  75,             0.04511,            0.025318,            0.020819,             0.74653,             0.63038,             0.69913,             0.42585,            0.041814,            0.013342,             0.01189,            0.006337,            0.006337,            0.006337
                  76,            0.045311,            0.025543,             0.02047,             0.74525,             0.63031,             0.69937,              0.4262,            0.041798,            0.013341,            0.011874,           0.0062875,           0.0062875,           0.0062875
                  77,            0.045102,            0.024907,             0.02014,             0.73761,             0.63471,             0.69938,             0.42615,            0.041778,             0.01334,            0.011866,            0.006238,            0.006238,            0.006238
                  78,             0.04542,            0.025382,            0.020095,              0.7386,             0.63363,             0.69977,             0.42671,            0.041762,            0.013336,            0.011855,           0.0061885,           0.0061885,           0.0061885
                  79,            0.044727,              0.0254,              0.0198,             0.74136,             0.63402,             0.70017,              0.4269,            0.041745,            0.013335,             0.01184,            0.006139,            0.006139,            0.006139
                  80,            0.045068,            0.025301,            0.020083,             0.74557,             0.63274,             0.70034,             0.42713,            0.041727,            0.013333,             0.01183,           0.0060895,           0.0060895,           0.0060895
